,price,bd_num,ba_num,sqft,address,zestimate,Building,Calendar,Heating,Snowflake,Parking,Lot,PriceSquareFeet,url,zipcode
82,"$379,000",2,2,"1,170","166-166.5 38th St,Pittsburgh, PA 15201","$370,700",Townhouse,Built in 1890,"Natural gas, forced air",Central air,2 Parking spaces,"1,298 sqft",$324 price/sqft,https://www.zillow.com/homedetails/166-166-5-38th-St-Pittsburgh-PA-15201/2067513135_zpid/,15201
83,"$365,000",2,2,"1,853","5264 Dresden Way,Pittsburgh, PA 15201","$353,500",Single family residence,Built in 1900,"Natural gas, forced air",Central air,2 Parking spaces,"2,000 sqft",$197 price/sqft,https://www.zillow.com/homedetails/5264-Dresden-Way-Pittsburgh-PA-15201/2081187350_zpid/,15201
84,"$230,000",1,2,--,"714 Leydon St,Pittsburgh, PA 15201","$219,800",Single family residence,Built in 1900,"Natural gas, forced air",Central air,Open parking,"2,208 sqft",,https://www.zillow.com/homedetails/714-Leydon-St-Pittsburgh-PA-15201/11614778_zpid/,15201
85,"$475,000",4,2,"1,725","252 46th St,Pittsburgh, PA 15201","$466,300",Single family residence,Built in 1925,"Natural gas, forced air",Central air,1 Parking space,"1,184 sqft",$275 price/sqft,https://www.zillow.com/homedetails/252-46th-St-Pittsburgh-PA-15201/11513021_zpid/,15201
86,"$400,000",--,--,--,"264 Service Way #2-HS,Pittsburgh, PA 15201","$374,800",Multifamily,Built in 1900,No data,No data,Open parking,,,https://www.zillow.com/homedetails/264-Service-Way-2-HS-Pittsburgh-PA-15201/2078558100_zpid/,15201
87,"$350,000",3,1,"1,709","5224 Keystone St,Pittsburgh, PA 15201","$337,800",Single family residence,Built in 1900,Natural gas,Window a/c,Open parking,"2,099 sqft",$205 price/sqft,https://www.zillow.com/homedetails/5224-Keystone-St-Pittsburgh-PA-15201/11612404_zpid/,15201
88,"$640,000",--,--,--,"169 41st St,Pittsburgh, PA 15201","$653,100",Duplex,,No data,No data,Off street,,,https://www.zillow.com/homedetails/169-41st-St-Pittsburgh-PA-15201/11512608_zpid/,15201
89,"$379,900",2,2,"1,320","187 42nd St,Pittsburgh, PA 15201","$372,500",Single family residence,Built in 1932,"Natural gas, forced air",Central air,1 Parking space,927.83 Sqft,$288 price/sqft,https://www.zillow.com/homedetails/187-42nd-St-Pittsburgh-PA-15201/11512976_zpid/,15201
90,"$349,900",--,--,--,"3807 Liberty Ave #306,Pittsburgh, PA 15201","$339,000",Multifamily,Built in 2020,No data,No data,1 Parking space,,,https://www.zillow.com/homedetails/3807-Liberty-Ave-306-Pittsburgh-PA-15201/2081821447_zpid/,15201
91,"$400,000",2,1,"1,378","264 45th St HOUSE 1,Pittsburgh, PA 15201",None ,Single family residence,Built in 1900,"Other, forced air",No data,Open parking,"1,600 sqft",$290 price/sqft,https://www.zillow.com/homedetails/264-45th-St-HOUSE-1-Pittsburgh-PA-15201/2078508398_zpid/,15201
92,"$189,000",2,1,--,"5417 Carnegie St,Pittsburgh, PA 15201","$174,900",Single family residence,Built in 1900,"Natural gas, forced air",No data,No data,649.04 Sqft,,https://www.zillow.com/homedetails/5417-Carnegie-St-Pittsburgh-PA-15201/11272832_zpid/,15201
93,"$225,000",3,1,"1,584","5235 Stanton Ave,Pittsburgh, PA 15201","$237,300",Single family residence,Built in 1900,"Natural gas, forced air",Window a/c,Open parking,"1,999 sqft",$142 price/sqft,https://www.zillow.com/homedetails/5235-Stanton-Ave-Pittsburgh-PA-15201/11612981_zpid/,15201
94,"$299,895",3,2,"1,000","5219 Poe Way,Pittsburgh, PA 15201","$296,000",Single family residence,Built in 1900,"Electric, zoned",Wall unit(s),1 Open parking space,"1,058 sqft",$300 price/sqft,https://www.zillow.com/homedetails/5219-Poe-Way-Pittsburgh-PA-15201/11612904_zpid/,15201
95,"$529,900",3,3,--,"5110 Carnegie St,Pittsburgh, PA 15201","$524,000",Single family residence,Built in 1900,"Natural gas, forced air","Central air, wall unit(s)",2 Parking spaces,"2,000 sqft",,https://www.zillow.com/homedetails/5110-Carnegie-St-Pittsburgh-PA-15201/11612703_zpid/,15201
96,"$349,000",2,2,--,"175 Almond Way,Pittsburgh, PA 15201","$336,700",Single family residence,Built in 1880,"Natural gas, forced air",Central air,Other,689.11 Sqft,,https://www.zillow.com/homedetails/175-Almond-Way-Pittsburgh-PA-15201/2067893185_zpid/,15201
97,"$329,900",3,2,"1,296","168 43rd St,Pittsburgh, PA 15201","$324,200",Single family residence,Built in 1900,"Natural gas, hot water",Central air,1 Open parking space,"1,481 sqft",$255 price/sqft,https://www.zillow.com/homedetails/168-43rd-St-Pittsburgh-PA-15201/11512967_zpid/,15201
